"zona","nome_zona","cod_municipio","nome_municipio","cod_distrito","nome_distrito","area_ha","utm_x","utm_y","area_m2_geom","nome_zona_tab","domicilios","familias","populacao","matriculas_escolares","empregos","automoveis_particulares","viagens_produzidas","viagens_atraidas","area_ha_tab","renda_total","renda_media_familiar","renda_per_capita","renda_mediana_familiar"
249,"Água Funda",36,"São Paulo",27,"Cursino",276.3,334760.940800672,7385644.11281995,2756402.9597168,"Água Funda",15186,15186,46815.0092974184,4703.80356748553,14681.2750609204,8359.26187768356,64729.0006498094,64765.9600452144,276.3,43017798.2788179,2832.72739884222,918.889025643963,2500
250,"Jardim da Saúde",36,"São Paulo",27,"Cursino",182.94,334445.453615277,7387391.71486708,1825061.32836914,"Jardim da Saúde",6759,6759,19178.9989346846,3401.64301204296,13100.6764197925,5773.98106208342,46419.0601504078,46380.704655042,182.94,33702808.4318561,4986.36017633616,1757.27672474634,4209.08262865571
251,"Vila Gumercindo",36,"São Paulo",27,"Cursino",137.19,334764.789447333,7388871.24512042,1368616.9140625,"Vila Gumercindo",9141.99999999999,9141.99999999999,24384.0030051364,7736.24335407506,11652.5947779519,7615.31037411648,38477.9532035825,39432.7473353869,137.19,39511305.9415683,4321.9542705719,1620.3781607657,3778.18872313733
252,"Jardim Previdência",36,"São Paulo",27,"Cursino",165.81,335334.464104856,7387234.04008685,1654082.67236328,"Jardim Previdência",7598,7598,22488.9986012447,3832.2724327541,11660.519685094,5223.36792706569,44948.3059765364,44590.7764573154,165.81,25304536.2292237,3330.4206671787,1125.19622051216,2588.93015036554
253,"Tamanduateí",36,"São Paulo",95,"Vila Prudente",112.99,337999.259883097,7390127.3590879,1127161.75390625,"Tamanduateí",1562,1562,5067.99925321163,226.810717286519,6954.61340576187,574.45385450662,13221.330538629,13139.2297035277,112.99,3856671.1154888,2469.05961298898,760.9849415516,2200
254,"Orfanato",36,"São Paulo",95,"Vila Prudente",354.26,339157.935591656,7390956.59990438,3533976.60449219,"Orfanato",12252,12252,34074.0052628203,26826.1118070264,22116.9530665474,10149.680730421,105170.158819998,105743.648935832,354.26,64755291.0734658,5285.28330668183,1900.43085847977,4000
255,"Vila Zelina",36,"São Paulo",95,"Vila Prudente",492.94,340188.63333038,7389303.89161766,4917397.5559082,"Vila Zelina",22919,22919,65500.9917283066,12827.2811838625,21019.8886197344,20962.9814180585,129760.186046284,129207.799483644,492.94,79010452.3727358,3447.3778250681,1206.24818476742,2930
256,"Linhas Corrente",36,"São Paulo",74,"São Lucas",251.81,341393.189117073,7390450.63063819,2511968.52392578,"Linhas Corrente",10272,10272,29469.0014324017,4468.80235677664,9469.05271298472,7053.23756278912,43340.1563270379,42531.4303371228,251.81,28354426.604022,2760.36084540713,962.178059173929,2452.83554594684
257,"Vila Ema",36,"São Paulo",74,"São Lucas",267.22,342496.388699477,7390939.28875102,2665660.60571289,"Vila Ema",15149,15149,44119.9905185614,6081.19743367851,8153.05325001692,9654.8132031637,60172.9572084073,60096.2172156528,267.22,47077511.2745258,3107.63161096612,1067.03357641748,2954
258,"Parque São Lucas",36,"São Paulo",74,"São Lucas",449.68,343179.156742815,7388790.68966471,4485787.52587891,"Parque São Lucas",23421,23988.25,69364.9920247584,10680.3677630616,15985.8391282351,15627.9861917892,94559.2507138209,94002.5397626835,449.68,64995063.6930911,2709.45415747673,937.0009538802,3044.22003137203
259,"Vila Cardoso Franco",36,"São Paulo",78,"Sapopemba",163.88,346144.293378169,7387300.48516168,1634713.32763672,"Vila Cardoso Franco",12351,12351,37944.0002688311,4460.79314528456,10757.527891642,7650.18823221444,48732.3276303556,48580.1332954714,163.88,32172593.2528313,2604.85735995719,847.896716869342,2700
260,"Parque Santa Madalena",36,"São Paulo",78,"Sapopemba",204.85,345326.497512296,7388308.96568824,2043399.01416016,"Parque Santa Madalena",14948,14948,46025.0013161652,6143.67850854571,8903.16648588936,6652.92879364556,56969.3433085148,56644.9752381927,204.85,40049152.7790718,2679.23152121166,870.160817681617,2500
261,"Jardim Colorado",36,"São Paulo",78,"Sapopemba",320.26,344427.371316063,7389914.35953984,3194720.59179688,"Jardim Colorado",18514,18514,56315.9977955642,7099.85583159111,12018.3526700878,13441.4646122586,84469.9804043499,84448.7305941556,320.26,60781257.6730222,3282.98896365033,1079.28936807029,3213.12736868523
262,"Teotônio Vilela",36,"São Paulo",78,"Sapopemba",346.33,346237.297152999,7389435.35692888,3454693.95825195,"Teotônio Vilela",27256,27256,85182.0176816616,10305.7791017378,19291.8699931796,12784.9983500744,114372.124251246,114352.431059017,346.33,74231761.7759604,2723.50167948196,871.448737612392,2452.83554594684
263,"Fazenda da Juta",36,"São Paulo",78,"Sapopemba",329.57,347672.10842889,7387437.79247744,3287498.03369141,"Fazenda da Juta",19766,19766,63211.9927273159,14589.4815626425,15372.0291664277,11386.6268583653,116249.122693598,115682.048767071,329.57,49310454.4485358,2494.71083924597,780.080682810482,2200
264,"São Mateus",36,"São Paulo",75,"São Mateus",427.59,348805.018151445,7388572.20684825,4265227.41064453,"São Mateus",21428,21902.0571428571,66947.9891642685,9920.65384908455,21737.6545562034,15695.279294121,108178.439099372,109373.471766618,427.59,70479006.3746483,3217.91719905331,1052.74269256566,3213.12736868523
265,"Cidade IV Centenário",36,"São Paulo",75,"São Mateus",332.58,347458.345101181,7390219.24343924,3317456.09838867,"Cidade IV Centenário",14388,14388,44246.9942768217,17993.9255633229,15856.3842183859,8886.46840348864,99936.7591082958,100188.49838828,332.58,45747318.5122647,3179.5467411916,1033.90793566805,2000
266,"Rio Claro",36,"São Paulo",75,"São Mateus",218.36,348937.378528579,7390369.23442953,2178108.30395508,"Rio Claro",6094,6094,18759.0028342738,4008.3090175403,6404.72961461498,2255.76251638586,22128.6163902905,21985.7118669123,218.36,15883178.1161424,2606.36332723046,846.696290653732,2708.30529526531
