oaci,ciad,nome,municipio,lon,lat,operacao,validade_registro,portaria
SDNN,SP0389,Birmann 21,SÃO PAULO,-46.70227777777778,-23.565361111111113,VFR Diurna/Noturna,25/05/2021,PA2018-3003
SDOH,SP0395,Pedreira Pau Pedra,GUARULHOS,-46.42583333333333,-23.350833333333334,VFR Diurna/Noturna,10/08/2025,PA2015-2134
SDON,SP0397,Ônix,SÃO PAULO,-46.72222222222222,-23.55138888888889,VFR Diurna/Noturna,08/02/2022,PA2015-0704
SDOT,SP0399,Attilio Tinelli,SÃO PAULO,-46.69361111111111,-23.602500000000003,VFR Diurna/Noturna,19/08/2021,PA2018-2579
SDPK,SP0402,Panco I,SÃO PAULO,-46.49491666666667,-23.528027777777776,VFR Diurna/Noturna,04/09/2022,PA2013-0797
SDPL,SP0403,Ibirapuera Park Hotel Ltda,SÃO PAULO,-46.64944444444444,-23.592777777777776,VFR Diurna/Noturna,19/08/2021,PA2017-2033
SDPM,SP0404,Palácio dos Bandeirantes,SÃO PAULO,-46.713055555555556,-23.600555555555555,VFR Diurna/Noturna,04/11/2023,PA2013-2823
SDPO,SP0405,Plaza Centenário,SÃO PAULO,-46.69583333333333,-23.60527777777778,VFR Diurna,13/02/2023,PA2013-0388
SDPS,SP0406,Hospital Estadual Mário Covas,SANTO ANDRÉ,-46.532777777777774,-23.670833333333334,VFR Diurna/Noturna,11/08/2024,PA2014-1863
SDPT,SP0407,Parque Paulista,SÃO PAULO,-46.659166666666664,-23.560277777777777,VFR Diurna/Noturna,25/01/2023,PA2013-0231
SDQP,SP0410,Parque Cultural Paulista,SÃO PAULO,-46.64555555555555,-23.571666666666665,VFR Diurna/Noturna,28/08/2022,PA2016-2470
SDQV,SP0411,Pavão,GUARULHOS,-46.410555555555554,-23.43277777777778,VFR Diurna/Noturna,,
SDQW,SP0412,Guararema,GUARAREMA,-46.12861111111111,-23.32638888888889,VFR Diurna/Noturna,11/09/2024,PA2014-2119
SDRB,SP0414,Renaissance Hotel,SÃO PAULO,-46.66222222222222,-23.55888888888889,VFR Diurna/Noturna,10/03/2024,PA2014-0533
SDFO,SP0328,Centro Gráfico - Folha,SANTANA DE PARNAÍBA,-46.86055555555556,-23.46638888888889,VFR Diurna/Noturna,01/11/2021,PA2011-2121
SDRN,SP0415,Zarzur,SÃO PAULO,-46.69194444444444,-23.57,VFR Diurna/Noturna,,
SDTC,SP0422,Edifício Edel Trade Center,SÃO PAULO,-46.660555555555554,-23.602500000000003,VFR Diurna/Noturna,24/09/2023,PA2014-0868
SDTN,SP0426,REC Berrini TNU,SÃO PAULO,-46.69669444444444,-23.608027777777778,VFR Diurna/Noturna,11/02/2024,PA2014-0327
SDTU,SP0428,Itaúsa,SÃO PAULO,-46.641666666666666,-23.636388888888888,VFR Diurna/Noturna,30/01/2023,PA2013-0272
SDUI,SP0430,Centro Empresarial Iudice,SÃO PAULO,-46.69472222222222,-23.51361111111111,VFR Diurna/Noturna,18/12/2022,PA2015-0913
SDVR,SP0436,Pátio Victor Malzoni,SÃO PAULO,-46.681666666666665,-23.586666666666666,VFR Diurna/Noturna,26/01/2025,PA2015-0176
SJMC,SP0633,Monte Carlo Trade Center,BARUERI,-46.85194444444445,-23.493055555555557,VFR Diurna/Noturna,08/06/2025,PA2015-1366
SJMG,SP0634,Mega Mix,SÃO PAULO,-46.618611111111115,-23.535833333333336,VFR Diurna/Noturna,26/01/2025,PA2015-0181
SJNS,SP0636,Grupo Souza Lima  ,SÃO PAULO,-46.544444444444444,-23.534722222222225,VFR Diurna/Noturna,01/03/2027,PA2017-0618
SJOL,SP0640,RS Morizono,BARUERI,-46.836111111111116,-23.508055555555554,VFR Diurna/Noturna,05/04/2022,PA2012-0634
SJON,SP0641,Jordanésia,CAJAMAR,-46.85444444444445,-23.354722222222225,VFR Diurna,06/02/2025,PA2015-0279
SJOZ,SP0644,Faria Lima Square,SÃO PAULO,-46.68277777777777,-23.58861111111111,VFR Diurna/Noturna,09/05/2022,PA2015-1851
SJPB,SP0645,Guarapiranga Golf,SÃO PAULO,-46.781666666666666,-23.7875,VFR Diurna/Noturna,05/04/2022,PA2012-0635
SJQH,SP0650,Hospital de Clínicas Municipal,SÃO BERNARDO DO CAMPO,-46.57777777777778,-23.733055555555556,VFR Diurna/Noturna,29/03/2027,PA2017-0912
SJRQ,SP0654,Hospital São Camilo Pompéia,SÃO PAULO,-46.68833333333333,-23.53388888888889,VFR Diurna/Noturna,14/12/2021,PA2011-2426
SJRZ,SP0656,João Domingues de Araújo,SÃO PAULO,-46.693888888888885,-23.60461111111111,VFR Diurna/Noturna,18/04/2022,PA2014-2479
SJSI,SP0657,Transportadora Americana,SÃO PAULO,-46.73844444444445,-23.514944444444446,VFR Diurna/Noturna,02/06/2021,PA2013-0795
SJSZ,SP0660,Helbor Concept,MOGI DAS CRUZES,-46.17916666666667,-23.516666666666666,VFR Diurna/Noturna,05/06/2025,PA2015-2953
SJTD,SP0661,Plaza JK,SÃO PAULO,-46.684999999999995,-23.590833333333332,VFR Diurna/Noturna,26/03/2023,PA2015-1365
SJTV,SP0663,Tivoli Center,SÃO PAULO,-46.736666666666665,-23.628611111111113,VFR Diurna/Noturna,31/07/2024,PA2014-1764
SJTY,SP0664,Tivoli Mofarrej,SÃO PAULO,-46.655833333333334,-23.56416666666667,VFR Diurna/Noturna,10/12/2022,PA2012-2683
SJUE,SP0665,Ecological Center,BARUERI,-46.875277777777775,-23.535,VFR Diurna,30/06/2025,PA2015-1614
SJWZ,SP0676,E-Tower,SÃO PAULO,-46.69027777777777,-23.593888888888888,VFR Diurna/Noturna,21/03/2022,PA2013-1215
SJVC,SP0669,Vivicon,SÃO PAULO,-46.66722222222222,-23.513055555555557,VFR Diurna/Noturna,07/12/2027,PA2017-3833
SIDL,SP0481,Deus é Amor,SÃO PAULO,-46.624722222222225,-23.555833333333332,VFR Diurna/Noturna,10/10/2023,PA2013-2647
SIFZ,SP0491,Hungria 1100,SÃO PAULO,-46.69430555555555,-23.577861111111112,VFR Diurna/Noturna,26/03/2022,PA2013-1292
SIGK,SP0493,CD Guarulhos,GUARULHOS,-46.44444444444444,-23.446666666666665,VFR Diurna/Noturna,02/05/2023,PA2015-1862
SIGO,SP0495,Condomínio Edifício Paulista Plaza,SÃO PAULO,-46.64180555555556,-23.57361111111111,VFR Diurna/Noturna,26/06/2025,PA2015-1566
SIHD,SP0499,Divena,SÃO PAULO,-46.62222222222222,-23.598333333333333,VFR Diurna/Noturna,17/01/2023,PA2013-0137
SIIH,SP0504,Torre 2000,SÃO PAULO,-46.686388888888885,-23.566583333333334,VFR Diurna/Noturna,10/01/2023,PA2013-0045
SIIR,SP0506,Brascan Century Plaza,SÃO PAULO,-46.675555555555555,-23.584166666666665,VFR Diurna/Noturna,14/11/2024,PA2014-2683
SIJD,SP0510,João Dias,SÃO PAULO,-46.71780555555556,-23.64361111111111,VFR Diurna/Noturna,31/01/2021,PA2013-1213
SIOD,SP0534,DIMEP,SÃO PAULO,-46.744166666666665,-23.529444444444444,VFR Diurna/Noturna,01/03/2026,PA2016-0435
SIJF,SP0511,Edifício Faria Lima Financial Center,SÃO PAULO,-46.68333333333333,-23.58611111111111,VFR Diurna/Noturna,13/09/2020,PA2015-1845
SIJX,SP0513,Internacional Plaza,SÃO PAULO,-46.681666666666665,-23.591388888888886,VFR Diurna/Noturna,12/07/2021,PA2018-2717
SIKC,SP0514,Erik,MAIRIPORÃ,-46.596944444444446,-23.299166666666668,VFR Diurna,26/10/2021,PA2014-2843
SIKD,SP0515,SODEPA,SÃO PAULO,-46.70444444444445,-23.57361111111111,VFR Diurna/Noturna,26/07/2022,PA2014-0066
SIKF,SP0516,Plaza Iguatemi,SÃO PAULO,-46.68666666666666,-23.57675,VFR Diurna/Noturna,25/01/2023,PA2013-0230
SIKT,SP0519,Joaquim Floriano,SÃO PAULO,-46.67111111111111,-23.583055555555557,VFR Diurna/Noturna,06/03/2023,PA2013-0565
SILF,SP0520,New Century,SÃO PAULO,-46.680277777777775,-23.5875,VFR Diurna/Noturna,06/03/2023,PA2013-0572
SILK,SP0521,O Estado de São Paulo,SÃO PAULO,-46.670833333333334,-23.51222222222222,VFR Diurna/Noturna,06/03/2023,PA2013-0579
SILR,SP0523,One Hundred,SÃO PAULO,-46.68416666666666,-23.59472222222222,VFR Diurna/Noturna,06/03/2023,PA2013-0566
SILV,SP0524,VOCP,SÃO PAULO,-46.68888888888888,-23.594444444444445,VFR Diurna/Noturna,14/03/2028,PA2018-0647
SILX,SP0525,Locar,GUARULHOS,-46.483333333333334,-23.47111111111111,VFR Diurna/Noturna,06/05/2025,PA2015-1048
SIMD,SP0526,Resedá Office,SÃO PAULO,-46.67480555555555,-23.582638888888887,VFR Diurna/Noturna,02/05/2023,PA2013-1099
SINE,SP0532,Ibar,POÁ,-46.32972222222222,-23.524166666666666,VFR Diurna/Noturna,24/10/2024,PA2014-2475
SIOW,SP0536,Hospital Alemão Oswaldo Cruz,SÃO PAULO,-46.643055555555556,-23.569444444444443,VFR Diurna/Noturna,13/02/2023,PA2013-0389
SIPI,SP0538,Alphacentro,BARUERI,-46.86222222222222,-23.498055555555556,VFR Diurna/Noturna,14/12/2021,PA2011-2423
SIPZ,SP0541,Papaiz,DIADEMA,-46.61805555555556,-23.67638888888889,VFR Diurna,26/04/2022,PA2013-0880
SIQM,SP0542,Morumbi Corporate,SÃO PAULO,-46.70194444444445,-23.625,VFR Diurna/Noturna,27/03/2025,PA2015-0740
SIRO,SP0545,Maksoud Plaza,SÃO PAULO,-46.651111111111106,-23.563055555555557,VFR Diurna/Noturna,28/09/2021,PA2011-1875
SIRY,SP0547,Hiper-Bergamini,SÃO PAULO,-46.58222222222223,-23.46527777777778,VFR Diurna/Noturna,11/03/2024,PA2014-0548
SIRZ,SP0548,Condomínio Faria Lima - Pinheiros,SÃO PAULO,-46.691111111111105,-23.569444444444443,VFR Diurna/Noturna,19/03/2023,PA2014-0939
SITE,SP0552,Telefônica,SÃO PAULO,-46.64261111111111,-23.56625,VFR Diurna/Noturna,15/05/2023,PA2013-1207
SITK,SP0553,Jomarca,GUARULHOS,-46.48583333333333,-23.46722222222222,VFR Diurna,02/05/2023,PA2013-1101
SITO,SP0554,Berrini One,SÃO PAULO,-46.690555555555555,-23.598333333333333,VFR Diurna/Noturna,18/11/2025,PA2015-3049
SITQ,SP0556,Vivo S/A,SÃO PAULO,-46.69902777777777,-23.62027777777778,VFR Diurna/Noturna,20/06/2022,PA2016-1815
SIUD,SP0558,Monte Horebe,SÃO PAULO,-46.60755555555556,-23.53852777777778,VFR Diurna/Noturna,02/06/2021,PA2013-1322
SIVC,SP0561,Vicente Spisso,VARGEM GRANDE PAULISTA,-47.00055555555556,-23.611111111111114,VFR Diurna,18/07/2023,PA2013-1855
SIXC,SP0571,Embrase,SÃO PAULO,-46.69291666666666,-23.510527777777778,VFR Diurna/Noturna,10/05/2023,PA2013-1159
SIXS,SP0574,EZ Towers A,SÃO PAULO,-46.7025,-23.626944444444444,VFR Diurna/Noturna,01/08/2027,PA2017-2390
SIYT,SP0578,Office Tower Itaim,SÃO PAULO,-46.67944444444444,-23.58111111111111,VFR Diurna/Noturna,02/03/2025,PA2015-0505
SIYU,SP0579,Edifício Ronaldo Sampaio Ferreira,SÃO PAULO,-46.69194444444444,-23.601666666666667,VFR Diurna/Noturna,05/11/2020,PA2010-1960
SIYZ,SP0580,Condomínio Edifício Berrini 1681,SÃO PAULO,-46.69444444444444,-23.61138888888889,VFR Diurna/Noturna,22/08/2023,PA2013-2136
SJAM,SP0588,Estância Lajota,MAIRIPORÃ,-46.571111111111115,-23.248333333333335,VFR Diurna/Noturna,11/05/2021,PA2011-0933
SJAN,SP0589,Grupo Santander Banespa-Panamérica Park,SÃO PAULO,-46.72527777777778,-23.65361111111111,VFR Diurna/Noturna,25/01/2021,PA2013-1512
SJAO,SP0590,Natura,CAJAMAR,-46.83166666666667,-23.404166666666665,VFR Diurna/Noturna,23/07/2025,PA2015-1945
SJBE,SP0593,Ortosíntese,SÃO PAULO,-46.724444444444444,-23.43888888888889,VFR Diurna,24/09/2023,PA2013-2648
SJBG,SP0594,Birmann 31,SÃO PAULO,-46.68194444444444,-23.59,VFR Diurna/Noturna,15/03/2023,PA2013-0679
SJBJ,SP0596,Guancan,COTIA,-46.85138888888889,-23.613055555555558,VFR Diurna/Noturna,23/05/2022,PA2012-1013
SJBO,SP0599,EZ Towers B,SÃO PAULO,-46.70166666666667,-23.627222222222223,VFR Diurna/Noturna,01/08/2027,PA2017-2397
SJCB,SP0602,Classic,SÃO PAULO,-46.73416666666667,-23.51361111111111,VFR Diurna/Noturna,26/08/2021,PA2015-1168
SJEB,SP0612,Millennium Office Park,SÃO PAULO,-46.689722222222215,-23.593055555555555,VFR Diurna/Noturna,09/01/2022,PA2015-0750
SJEI,SP0613,New England,SÃO PAULO,-46.66166666666666,-23.552472222222224,VFR Diurna/Noturna,02/05/2023,PA2013-1098
SJES,SP0615,Main Estate,GUARULHOS,-46.47166666666667,-23.458055555555553,VFR Diurna/Noturna,26/01/2025,PA2015-0171
SJEY,SP0616,Eurofarma Laboratórios S.A,ITAPEVI,-46.96083333333333,-23.51888888888889,VFR Diurna/Noturna,22/08/2023,PA2015-1613
SJRM,SP0653,Monte das Oliveiras,SANTO ANDRÉ,-46.520833333333336,-23.665555555555553,VFR Diurna/Noturna,20/09/2021,PA2016-0445
SJGM,SP0619,Quadra Hungria,SÃO PAULO,-46.69611111111111,-23.575,VFR Diurna/Noturna,03/11/2021,PA2011-2122
SJII,SP0626,Silva Jardim,SÃO BERNARDO DO CAMPO,-46.546861111111106,-23.713277777777776,VFR Diurna/Noturna,15/10/2028,PA2018-3095
SJIW,SP0628,Helicenter Alphaville,SANTANA DE PARNAÍBA,-46.82833333333333,-23.474999999999998,VFR Diurna/Noturna,13/09/2022,PA2015-2398
SDTM,SP0425,Crystal Tower,BARUERI,-46.85277777777778,-23.493333333333336,VFR Diurna/Noturna,,
SJFC,SP0617,Federação do Comércio do Estado de São Paulo,SÃO PAULO,-46.65277777777778,-23.558333333333334,VFR Diurna/Noturna,,
SDSN,SP0417,São Luiz,SÃO PAULO,-46.68666666666666,-23.590555555555554,VFR Diurna/Noturna,,
SDWT,SP0442,World Trade Center,SÃO PAULO,-46.69622222222222,-23.609166666666667,VFR Diurna/Noturna,,
SDDG,SP0308,Hospital Samaritano,SÃO PAULO,-46.662388888888884,-23.538611111111113,VFR Diurna/Noturna,14/06/2021,PA2011-1168
SDUT,SP0432,Hotel Transamérica,SÃO PAULO,-46.72277777777778,-23.650805555555554,VFR Diurna/Noturna,30/12/2021,PA2011-2621
SSAW,SP0743,West Gate,BARUERI,-46.84805555555556,-23.502777777777776,VFR Diurna,01/03/2026,PA2016-0442
SSBH,SP0744,Edifício Berrini 500,SÃO PAULO,-46.69222222222222,-23.601111111111113,VFR Diurna/Noturna,09/03/2025,PA2015-0589
SSCS,SP0745,Continental Square,SÃO PAULO,-46.684,-23.595777777777776,VFR Diurna/Noturna,04/03/2023,PA2013-1033
SSEJ,SP0747,Moinho Velho,EMBU DAS ARTES,-46.84666666666667,-23.626944444444444,VFR Diurna/Noturna,05/10/2020,PA2010-1693
SSFR,SP0748,18 do Forte Empresarial,BARUERI,-46.85666666666667,-23.483888888888888,VFR Diurna/Noturna,26/01/2025,PA2015-0184
SSHJ,SP0750,JC,OSASCO,-46.782222222222224,-23.53388888888889,VFR Diurna/Noturna,23/03/2027,PA2017-0839
SSIL,SP0752,Blau Farmacêutica,COTIA,-46.897777777777776,-23.598055555555554,VFR Diurna/Noturna,05/12/2021,PA2016-2431
SSOA,SP0764,Blue Tree Tower Faria Lima,SÃO PAULO,-46.68083333333333,-23.59111111111111,VFR Diurna/Noturna,14/05/2022,PA2013-1095
SSOV,SP0766,Icon Alphaville,BARUERI,-46.84805555555556,-23.49277777777778,VFR Diurna/Noturna,07/11/2024,PA2014-2631
SSPQ,SP0768,Hospital da Polícia Militar,SÃO PAULO,-46.61944444444445,-23.470277777777778,VFR Diurna/Noturna,05/09/2027,PA2017-2987
SSQE,SP0770,TV Mundial I,SÃO PAULO,-46.708333333333336,-23.568055555555556,VFR Diurna/Noturna,13/02/2023,PA2013-0390
SSQV,SP0771,UNICID - Universidade Cidade de São Paulo,SÃO PAULO,-46.559444444444445,-23.53611111111111,VFR Diurna/Noturna,29/05/2023,PA2013-1392
SSQY,SP0774,Centro Empresarial de São Paulo,SÃO PAULO,-46.72777777777778,-23.65111111111111,VFR Diurna/Noturna,11/07/2022,PA2014-3142
SSUB,SP0779,HBR,OSASCO,-46.78111111111111,-23.47861111111111,VFR Diurna/Noturna,22/11/2023,PA2013-2998
SSUN,SP0783,Terminal Petrobrás de Guarulhos,GUARULHOS,-46.447222222222216,-23.470555555555553,VFR Diurna,11/02/2025,PA2014-0325
SSVH,SP0786,Henri Dunant,SÃO PAULO,-46.698611111111106,-23.627222222222223,VFR Diurna/Noturna,27/09/2027,PA2017-3169
SSWD,SP0788,Plaza II,SÃO PAULO,-46.69611111111111,-23.611111111111114,VFR Diurna/Noturna,08/04/2021,PA2015-2221
SSXE,SP0856,Monumental Business,SÃO CAETANO DO SUL,-46.56927777777778,-23.61463888888889,VFR Diurna/Noturna,,
SSYH,SP0791,Hospital Autódromo José Carlos Pace,SÃO PAULO,-46.695277777777775,-23.7,VFR Diurna/Noturna,13/11/2022,PA2012-2426
SSZE,SP0792,Banco Sofisa,SÃO PAULO,-46.655833333333334,-23.56277777777778,VFR Diurna/Noturna,16/09/2021,PA2011-1768
SSZJ,SP0793,Semp Toshiba Jordanésia,CAJAMAR,-46.83722222222222,-23.331666666666667,VFR Diurna/Noturna,26/07/2022,PA2012-1502
SWAB,SP0794,Bradesco Previdência,BARUERI,-46.85666666666667,-23.486666666666668,VFR Diurna/Noturna,02/03/2025,PA2015-0507
SWCK,SP0795,WEST CORP,BARUERI,-46.85111111111111,-23.501666666666665,VFR Diurna/Noturna,24/01/2028,PA2018-0100
SWEG,SP0802,Engevix,BARUERI,-46.82775,-23.502472222222224,VFR Diurna/Noturna,17/10/2022,PA2013-1289
SWGM,SP0804,Panco Guararema,GUARAREMA,-46.14355555555556,-23.337027777777777,VFR Diurna/Noturna,28/11/2024,PA2014-2844
SWHH,SP0808,Banco Santander ,SÃO PAULO,-46.69083333333333,-23.590833333333332,VFR Diurna/Noturna,19/10/2021,PA2018-2150
SWHW,SP0811,Helbor Tower,MOGI DAS CRUZES,-46.19638888888888,-23.52361111111111,VFR Diurna,23/07/2023,PA2013-1888
